Library,Commit,Date,PR/Issue,Violation,Root Cause,Impact,Action,condition,Fixing pattern,Fixing element,,,
pytorch,https://github.com/pytorch/pytorch/commit/d9870d70c12dc59b0f8bce288910422bcb60b044,2023-02-03 14:45:46,,missing,tensor operations,crash,add,if checker,tensor operations are valid,autograd,,,
pytorch,https://github.com/pytorch/pytorch/commit/98f9ff90268ae62ab6d794cce0786121bf17edc9,2022-02-18 13:41:47,1,improper,tensor shape mismatch,others,replace,checker api,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/b05c34259b5e3ff9b55fba5a24d7c5f2f2036471,2020-06-25 18:16:37,1,improper,tensor shape mismatch,unknown,replace,checker api,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/71af538e31547e5b1bc814c9e00323a21905baf3,2020-06-02 16:35:39,2,improper,tensor shape mismatch,inconsistent results,extend,assertion statement,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/b8ab3080b1043a610ba2825a2be406a1833b1d70,2017-09-21 17:50:43,0,improper,others,incorrect functionality,update,if checker,input argument is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/be253b8ee8a104997773d11ed28928a48193217d,2022-03-01 1:31:52,,improper,tensor shape mismatch,numerical error,update,checker api,tensor size is valid,integer variable,,,
pytorch,https://github.com/pytorch/pytorch/commit/128dd6b1502ad3687ffb79484b72d4cfafec496e,2022-04-20 19:10:41,,improper,out of bound access,crash,update,assertion statement,output and input tensors has same size,parameter,,,
pytorch,https://github.com/pytorch/pytorch/commit/993d8bb77e1ce79940705b1c7667dc9276f449df,2022-08-26 1:45:59,,improper,tensor shape mismatch,incorrect functionality,add,type checking api,tensor size is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/363d5300356e17e7e9eb92381a4cf8a932fca3e0,2023-04-21 18:49:50,,missing,edge cases,incorrect functionality,update,if checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/9c3cb6e652e6033e355cef92229fde5b0baf271b,2017-11-08 9:55:25,1,improper,tensor shape mismatch,inconsistent results,update,if checker,tensor dimension is valid,tensor stride,,,
pytorch,https://github.com/pytorch/pytorch/commit/7f125bca1cd42ebd8e07c97f1bd1682dff5cf387,2020-11-02 17:00:12,1,improper,tensor shape mismatch,crash,update,if checker,tensor dimension is valid,tensor stride,,,
pytorch,https://github.com/pytorch/pytorch/commit/f02b7a9c36dd6182da694bc47a5c345285dfd951,2022-04-26 9:07:56,,missing,edge cases,crash,update,macro checker,tensor is not empty,tensor value,,,
pytorch,https://github.com/pytorch/pytorch/commit/4839f73f329b38819e6f69a8662d61dc36558e52,2022-10-13 13:54:28,2,improper,others,crash,add,checker api,tensor is not empty,tensor storage,,,
pytorch,https://github.com/pytorch/pytorch/commit/75be4f9cdb503d6eff189b2bc5c05d96bff66653,2022-04-26 13:52:45,1,improper,others,crash,add,checker api,tensor is not empty,tensor storage,,,
pytorch,https://github.com/pytorch/pytorch/commit/a3701b674046bcefb5927a6643364b186f77dbcf,2023-04-10 11:56:38,1,improper,device availability,incorrect functionality,update,if checker,device is available,device version,,,
pytorch,https://github.com/pytorch/pytorch/commit/6f5945e4bb1258d39a2878a08a910fcc8f659d5e,2022-12-01 17:01:41,1,improper,device availability,version incompatibility,update,if checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/7c44823a4e0506b2eb7f1aa667ba939ba9d56969,2023-02-14 18:23:26,,improper,device availability,incorrect functionality,update,macro checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/871b5caae76185cff141c522b3133e7543c8dabf,2023-09-18 20:10:51,1,improper,device availability,incorrect functionality,relocate,assertion statement,device is available,IPEX,,,
pytorch,https://github.com/pytorch/pytorch/commit/6592259ea52f45e1fc9a633ccb5b154ba5099334,2022-08-01 5:28:44,,improper,device availability,incorrect functionality,extend,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/1becd2c314f45bded8d3fbec91d785e7190b4afe,2023-12-12 17:20:20,1,improper,device availability,runtime error,update,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/490f2d75700a806bdc6110e881e78493cde163e3,2023-12-05 23:44:49,1,improper,device availability,crash,update,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/a076a74f1118da171cf70d00d1de4abbe27cf85d,2023-11-29 0:59:35,1,improper,device availability,crash,update,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/097defb1608827d82b18b27adeec0a98b72a9281,2023-10-11 23:37:18,1,improper,device availability,crash,update,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/57af1ec14594a73c8f2b73bf70c04ba7efeb6eab,2020-08-17 20:08:57,1,improper,tensor shape mismatch,performance bug,replace,checker api,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/07f0f383fa23e63eca164036ab58ab983e9437eb,2023-10-11 22:14:38,1,improper,type checking,incorrect functionality,remove,if checker,tensor type is valid,tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/a33d8133a52c7453958b70facc40bd7448d5d88d,2023-02-24 21:23:40,1,improper,type checking,incorrect functionality,replace,checker api,others,tensor type,,,
pytorch,https://github.com/pytorch/pytorch/commit/4e1bd4abe7691f460cb021e5b314168caa42ef92,2023-02-09 10:22:02,1,improper,type checking,others,add,type checking api,object type is valid,tensor type,,,
pytorch,https://github.com/pytorch/pytorch/commit/b90db4a78f8d760377a81a5a64d03ab4b67599de,2022-10-20 1:05:56,1,improper,type checking,incorrect functionality,update,type checking api,object type is valid,object,,,
pytorch,https://github.com/pytorch/pytorch/commit/63cbdc92a750a667ffdcfbdac563d02db6fd9559,2022-08-25 4:28:40,,improper,type checking,runtime error,update,type checking api,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/b7d58745c882a66f5c20d2ba05b99ddce7491d38,2021-11-21 10:08:12,,improper,type checking,performance bug,replace,type checking api,others,tensor operation,,,
pytorch,https://github.com/pytorch/pytorch/commit/6420071b43dc9f2679c22952b5051b0c28f42da2,2021-01-12 10:55:18,,improper,type checking,runtime error,update,type checking api,tensor type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/73431f087b48560ab4b65f8814809fc019061223,2017-11-11 18:50:13,,improper,type checking,incorrect functionality,add,type checking api,others,,,,
pytorch,https://github.com/pytorch/pytorch/commit/24ca6aab024f4e45e462e387ffd710a1d25b59da,2020-09-03 10:45:53,,improper,type checking,others,update,if checker,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/92ebb04f9206882e6d312a8b91318545f43a53c2,2020-09-24 19:26:59,,improper,type checking,runtime error,update,if checker,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/40d6f2a02027023216607adb892d3b9c7493904c,2023-01-17 18:14:21,,improper,type checking,incorrect functionality,add,type checking api,tensor type is valid,subclass tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/fe6aa0844466e5dd2669092eac5edde153108b28,2022-05-13 16:49:40,,improper,type checking,incorrect functionality,replace,macro checker,tensor type is valid,scalar,,,
pytorch,https://github.com/pytorch/pytorch/commit/1c5a8125798392f8d7c57e88735f43a14ae0beca,2022-03-26 10:49:11,,improper,type checking,incorrect functionality,replace,type checking api,others,type checking,,,
pytorch,https://github.com/pytorch/pytorch/commit/35e7ac3fa17bc20d982ea69440d30cd9658dff25,2022-01-25 0:33:36,,improper,others,incorrect functionality,update,if checker,others,string varuable,,,
pytorch,https://github.com/pytorch/pytorch/commit/0f0829d88e839be1e150e917aca5b1edb64752ee,2017-09-14 4:30:58,,missing,edge cases,segmentation fault,update,type checking api,tensor size is valid,tensor sieze,,,
pytorch,https://github.com/pytorch/pytorch/commit/a7cc6531399300f999a404718827e2a94c115aaf,2018-01-03 20:42:55,1,improper,device version,version incompatibility,update,if checker,device version is valid,CUDA ,,,
pytorch,https://github.com/pytorch/pytorch/commit/218f4506fdcde69e3f8f2f2b2b51fefd996c577b,2017-08-09 1:35:04,2,improper,device version,version incompatibility,update,if checker,device version is valid,CUDA ,,,
pytorch,https://github.com/pytorch/pytorch/commit/3f5dc95b57496c4ea938be381efcdc2ea92bb4cc,2019-11-15 16:55:38,1,improper,device availability,incorrect functionality,update,if checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/1c02be1b6a0f6d02d3a0ae19c13d51a3e59a55ae,2020-12-01 17:55:18,,improper,device availability,attribute error,extend,if checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/29b702144bf5bb96dfd8fcbd04b6562a27ca5385,2022-05-07 6:35:29,1,improper,device availability,incorrect functionality,update,macro checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/bbc7c79b20e67da450dd9b7de70cc6b68e656714,2023-03-27 14:57:27,,improper,device availability,incorrect functionality,add,macro checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/faa7eb81c634492b70fcc0327622bb0aa812cacd,2023-05-24 4:36:43,1,misleading,misleading error message,user confusion,improve,if checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/48a49b2683ffa21eb1b472e503c129c043c18f87,2023-07-10 15:00:47,2,misleading,misleading error message,user confusion,improve,macro checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/bdb3fb49bc7a73cbcc5c865dda8be32888deb584,2023-05-22 14:37:05,1,misleading,misleading error message,user confusion,improve,macro checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/4ab1588d9919bc1a62219a5c2393e0784ddaae70,2023-03-22 4:42:48,1,misleading,misleading error message,user confusion,improve,if checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/577e90ae9bf257040acb68da3626d9a64d07bf7a,2022-06-23 5:04:34,1,misleading,misleading error message,user confusion,improve,macro checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/22044c6f7cbdafdd340714bbe220b621e1927826,2020-01-07 13:04:24,2,misleading,misleading error message,user confusion,improve,macro checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/a5aceba61fc290236af955e2c4fff4513476c9ff,2023-03-07 14:16:27,1,misleading,misleading error message,user confusion,improve,macro checker,improve error message,log,,,
pytorch,https://github.com/pytorch/pytorch/commit/dc0d68a1ee3800ed4024762d018f85256e80f5ad,2020-11-03 16:07:21,,misleading,misleading error message,user confusion,improve,if checker,improve error message,,,,
pytorch,https://github.com/pytorch/pytorch/commit/871e240e6367f94966a3e2f9deefbfa98e314d6d,2022-01-31 15:50:42,,misleading,misleading error message,user confusion,improve,macro checker,improve error message,logging,,,
pytorch,https://github.com/pytorch/pytorch/commit/c9548176965557a76526ba0db23ff5c9facd3e97,2021-02-24 23:09:25,,misleading,misleading error message,user confusion,improve,macro checker,improve error message,,,,
pytorch,https://github.com/pytorch/pytorch/commit/7caceea6e8c352a934f8fecf21f55454007d63b2,2017-09-25 23:53:59,,misleading,misleading error message,user confusion,improve,if checker,improve error message,,,,
pytorch,https://github.com/pytorch/pytorch/commit/93256617c8622760181dacf03c41cc0577ac0ea6,2020-04-08 14:22:50,,misleading,misleading error message,user confusion,improve,macro checker,improve error message,,,,
pytorch,https://github.com/pytorch/pytorch/commit/99f06c0cc2a907d8fbf613768356838548f1f8c0,2023-12-11 16:21:10,1,misleading,misleading error message,user confusion,improve,if checker,improve error message,,,,
pytorch,https://github.com/pytorch/pytorch/commit/9a9eadacc6ac3b734a6d607ae6f63ec1a0d1438d,2018-06-19 11:53:46,,missing,device availability,crash,add,if checker,device is available,,,,
